Brand,Price,Description
TPLINK,$10.00,"
Wireless Router 300Mbps With 2 Antennas | WR841N
"
DLINK,$11.00,"
D-Link  300Mbps Wireless Router | DIR-612/ENA
"
Mercusys ,$11.00,"
Mercusys N300 Wireless WiFi Router | MW302R
"
TENDA,$11.00,"
Tenda N301 Router Wireless N300 Easy Setup Router
"
TPLINK,$11.00,"
TP-Link 300 Mbps Speed Wireless WiFi Router | TL-WR820N
"
TENDA,$12.50,"
Tenda F3 N300 Wireless Wi-Fi Router with High Power 5dBi Antennas
"
Mercusys ,$13.00,"
MERCUSYS 300 Mbps Multi-Mode Single Band Wireless N Router | MW306R
"
TENDA,,"
Tenda Wireless N300 Easy Setup Router | F6
"
TPLINK,$14.00,"
TPLINK 300Mbps Wireless N Router TL-WR845N
"
DLINK,$15.00,"
D-Link 300Mbps Wireless Smart Router | R04/ENA
"
PROLINK,$16.00,"
PROLINK 300MBPS WIRELESS-N BROADBAND AP/ROUTER | PRN3002
"
TPLINK,$16.00,"
TPLINK ROUTER AC750  Archer C20 Wireless Dual Band Router
"
DLINK,,"
D-Link Wireless N 300 ADSL2+ 4-Port Router | DSL-124
"
LINKSYS,$19.00,"
Linksys N300 Wi-Fi Wireless Router | E900
"
DLINK,$20.00,"
D-Link AC750 Wi-Fi Router DIR-806A/ENA | DIR-806A
"
PROLINK,$20.00,"
PROLINK ROUTER WITH 2 ANTHENA | PRN3009
"
TPLINK,$23.00,"
TPLINK 300Mbps Wireless N Nano Router | TL-WR802N
"
Planet,$24.00,"
Planet 802.11n Wireless Internet Fiber Router | FRT-415N
"
DLINK,$25.00,"
D-Link AC1200 Wi-Fi Gigabit Router | DIR-825M/C1
"
TENDA,,"
Tenda AC5 V3 AC1200 Wireless Dual Band WiFi Router | AC5 V3
"
TPLINK,$28.00,"
TPLINK 300Mbps High Power Wireless N Router TL-WR841HP
"
TENDA,$33.00,"
Tenda AC6 Wireless N1200 Mbps Router | AC6
"
LINKSYS,$37.00,"
Linksys WiFi Router Dual-Band AC1000 | E5350
"
TPLINK,$37.00,"
TPLINK ROUTER AC1350 C60 Wireless Dual Band Router Archer
"
Cudy,$38.00,"
Cudy AC1200 Wi-Fi VPN Travel Router |  TR1200
"
ASUS,$48.00,"
ASUS RT-AC53 Dual-band Wireless AC750 Gigabit Router, Fast 802.11ac Wi-Fi Router with 3 External Antenna, Wider Coverage, VPN Support, Black | 90IG02Z1-BU9000
"
ASUS,$50.00,"
Asus Wireless AC1200 Dual-Band Router - RT-AC1200 | 90IG0550-BM3400
"
PROLINK,$50.00,"
PROLINK Wireless AC1200 Dual Band Router | PRC3801
"
DLINK,$56.00,"
D-Link AX3000 Mesh Gigabit Wireless Router 3000 Mbps Speed,Black | DIR-X3000Z
"
TENDA,$56.00,"
Tenda TX2 PRO Wireless N600 Mbps Gaming Router | TX2 PRO
"
ASUS,$82.00,"
ASUS 4G-N12_B1 Wireless-N300 LTE Modem Router | 90IG0570-BM3200
"
PROLINK,,"
PROLINK OUTDOOR ROUTER | PRC5001
"
DLINK,$88.00,"
D-Link  COVR-1100 (3 Pack) COVR AC1200 Dual-Band Mesh Wi-Fi Router| Covr-1100/ESG3
"
PROLINK,$89.00,"
PROLINK PRC2401U AC ROUTER | PRC2401U
"
ASUS,$92.00,"
ASUS 4G-N16,Wireless-N300 LTE Modem Router | 90IG07E0-MO3H00
"
Google,$99.00,"
Google Nest Wifi - Mesh Router (AC2200) SNOW | GA00595
"
TPLINK,$102.00,"
TPLINK Archer MR600 AC1200 Wireless  Router
"
DLINK,$103.00,"
D-Link COVR AC1200 Dual-Band Mesh Wi-Fi Router | COVR-1100
"
TPLINK,$119.00,"
TPLINK AC1750 Wireless Dual Band Gigabit Router C7
"
TPLINK,$135.00,"
TPLink AC1900 Archer C9 Smart Wireless Router - Beamforming Dual Band Gigabit WiFi Internet Routers for Home, High Speed, Long Range, Ideal for Gaming
"
TPLINK,$142.00,"
TP-Link Deco Voice X20 AX1800 Mesh Wi-Fi 6 System | Deco Voice X20 (1-Pack)
"
ASUS,$145.00,"
ASUS RT-AC85P Wireless AC2400 Dual-Band Gaming Router | 90IG04X0-MU9G00
"
ASUS,$145.00,"
ASUS RT-AC87U AC2400 Dual Band Gigabit WiFi Router | 90IG00W-BU2G00
"
DLINK,$148.00,"
D-Link  AX1500 Eagle Pro Al Mesh Wi-Fi Router 6 system | M15/MNA3
"
ASUS,$165.00,"
ASUS RT-AC86U AC2900 Dual Band Gigabit WiFi Gaming Router | 90IG0401-BU9000
"
ASUS,$187.00,"
ASUS 4G-AC53U Router Wireless Dual-Band (2.4 GHz/5 GHz) Gigabit Ethernet 3G Nero | 90IG04A1-BU9000
"
DLINK,$198.00,"
D-LINK DWR-2000M - 5G AX1800 CPE Router | DWR-2000M
"
ASUS,$207.00,"
ASUS RT-AC68U AC1900 Dual Band Gigabit WiFi Router, AiMesh | 90IG00C0-BO3000
"
TPLINK,$220.00,"
TP-Link AXE5400 Tri-Band Gigabit Wi-Fi 6E Router | Archer AXE75
"
ASUS,$240.00,"
Asus 4G AC86U AC2600 Dual Brand Wireless Router | AC86U
"
DLINK,$241.00,"
D-Link 4G LTE CAT 4 Router N300 WiFi Modem + Battery,  150Mbps Mobile Speed , 300 Mbps WiFi Hotspot , SIM Card To Network Cable RJ45 LAN WAN With Two External Antenna – White | DWR-M921B
"
TPLINK,$312.50,"
TP-Link AC5400 Wireless Tri-Band MU-MIMO Gigabit Router | Archer C5400
"
ASUS,$339.00,"
ASUS WiFi Gaming Router (RT-AC5300) - Tri-Band Gigabit Wireless Internet Router, Gaming & Streaming, AiMesh Compatible, Included Lifetime Internet Security, Adaptive QoS, Parental Control, MU-MIMO| 90IG0201-BU9G00
"
